post,response,emotion
what s wrong with him ?,he has a fever . . .,0
where s that man ?,we go to the cafeteria .,4
yes that one is very nice .,thanks for your help .,0
we ll do it next monday .,that s great . i will .,1
i m a doctor .,really ? do you like it ? ?,0
why don t you back off ?,my vote is out and hill .,0
it s p . m . today .,i m excited to hear that . .,0
let s meet half way yuan ok ?,here you are . my receipt .,0
how are your work now ?,not bad just let it go . .,0
wanna snack . . . ?,i wish i went down for my face .,3
here s the money keep the changes please .,do you need a receipt ? ?,1
depends on what you believe in .,what do you mean ? ?,1
you re right . i know .,i didn t think you saw the movie .,4
so since when is your house a bank ?,what do you mean ? ?,0
you sure about that ?,yes i agree . for the afternoon,2
i m almost done .,what s the matter ? ? .,1
i ll take you to a game .,okay . i will go there .,2
i thought you never sold cigarettes to kids .,that s okay . .,1
may i help you ?,i d like to book a room please .,0
i believe you know my husband .,i m shocked he actually be careful .,0
well that s one way of putting it .,thanks very much . two .,1
she up for this ?,no she s out of our park .,1
life is not a dream .,are you planning on vacation ? ?,2
i think they only need a little trimming .,i am very satisfied with your answers .,0
it s late . . . .,i don t think it is so late .,2
don t make yourself sick .,i m not too bad . !,4
no madam .may i help you ?,yes i need some traveler s checks .,0
the suit will stretch . you should try it,i really like that . .,4
he knew my husband who died .,i wish i meet steven .,2
he go back to the hotel ?,that s where he would .,3
you re a pretty good player .,i really wish i exciting so .,4
sign ? what s sign ?,there on the window .,0
what do you get out of this ?,i m afraid not . .,2
nice to meet you .,may i know your name please ? ?,4
i guess i ll be going .,okay . for everything . .,4
why ? . . .what ?,i don t know the reason .,4
let s go out and have a look .,ok . ? ? ?,1
why are you all dressed up ?,i ve got a date .,0
what ll they do to him ?,he was a fever . he doesn,3
can i have a look as well ?,of course have a seat . ?,1
yes i need some traveler s checks .,how much do you need ? ?,0
i ll go first .,that s a good idea .,2
this lamb s very good .,can i speak to the stove ? ?,0
i was hoping for the real thing .,it was a very lucky game .,3
i m not so sure you do .,why do you vote ? ? ?,4
it s quite convenient .,thank you for your interest in our company .,0
hey are you okay ?,not yet . what about you ? ?,2
so that s the way it is ?,that s . .,4
get to your cars !,that s too bad . !,2
how do you figure that ?,i applied online . .,0
don t say that .,i didn t think you saw them long .,2
i don t want to lose you .,why not ? out me !,0
. . .yeah . . .,. my name is breakfast . ?,2
sounds good to me .,does it go to the park ? ?,0
late in the afternoon after work .,we have a flight at four thirty .,0
how do you know how bad it was ?,it s a good day and a year .,2
and you d take some exercise every day .,should i arrive every day ? ?,0
perhaps after this . . . test ?,yes . i m sorry .,2
actually i don t . . .,it was a good job .,1
no part of it wasn t real .,we missed the temperature . ?,4
thank you . i wish i would .,good luck to you . . out,0
you shouldn t a done that .,that s too bad . it !,1
it can be different . it must be .,that s a great price .,4
there is a wait for the computers .,that s all right .,0
no don t do that . . .,but i feel my own friend .,3
if you plan on eating you are .,you are welcome . to change you .,0
we re very unhappy .,i don t know .,4
yes . like that .,can i have my room please ?,3
that s my dad .,i see . thank you very much .,4
yes they are all on the shelf .,but they re the dirty .,0
thank you . honey .,how s your rate ? ? .,0
i ll go with you .,that s the way to go . .,2
doctors that are people can t cure everything .,i am very excited .,4
i often feel so tired .,you better do some exercise every morning .,0
soon . i told you before very soon .,oh . i m so happy for our concern,1
when are you off ?,i m flying home on sunday afternoon .,0
i have . sit down over there .,all right . what do you want ?,2
hi jack . long time no see !,yeah . how s everything going ?,0
should i wake her ?,yes please . . .,2
where does it lead ?,it s the new film .,2
why i turned them down naturally .,you are going to be well smooth .,1
possibly . split personality . . .,what s your occupation ? !,0
don t want weak legs .,what do you mean ? ?,2
are you all right ?,no i m not . you ?,2
don t you like red apples ?,yes i like collecting very fast .,0
what guy that died ?,i went sailing fishing .,4
i love that . that s my type .,i see . my name is johnson .,2
he wanted a watch too .,we should do this more often .,2
go down this road and then turn left .,what s the purpose of the benefits ?,0
ah that is good .,thanks for your help .,4
you re the memory guy ?,no i always . .,2
how old are you ?,twenty one . . . .,0
what did you do ?,i went to tamshui . you ? .,0
what shall we drink to sir ?,why don t you notice a private study ?,0
it wasn t your fault .,my watch is an year . .,2
tell me what you want to eat .,after you really yet ? .,0
you need to type your pin in .,what do i have to do next ?,0
i love the peaceful life in canada .,do you want to live here ?,0
looks good to me .,you re not feeling yet . .,4
i usually don t .,what happened ? off ? ?,4
yeah but jason s really sensitive .,why don t you notice the ticket ?,0
is that room service ?,yes .what can i do for you ?,0
i like the different instruments that they use .,that s a good reason to like something .,1
it s better to be free right ?,yes we d like some reservation for me .,4
i didn t do enough .,we ve found some heroin at your house .,2
you left me a message ?,yes . this is our club .,0
because if you do i ll kill you !,so are you at the airport to work ?,4
really ? i like playing basketball too .,we can play together if you are free .,1
dad it s raining outside .,and the score is in fresh .,0
i ll be there .,i d better see you there .,0
i m going with you .,what do you need ? ?,4
really good ! you should try it sometime .,i might . what did you do yesterday ?,0
i have no idea .,you must have a high iq score .,2
do you have a moment sir ?,yes what do you need ?,4
don t curse in front of it .,but we re only the news machine .,2
hi this is maria . is that shirley ?,yes we can meet again next school .,0
thank you very much .,you re welcome . my honor .,3
french guys ? you mean like from france ?,yes i am .,2
can t you stay with us a little ?,i am afraid not . !,2
well that s different .,could i have a date please ? ?,4
the th will be fine .,and what date will you be returning ?,0
the sale price today is each .,okay . is yuan and girls s calling,0
it s not for sale at any price .,ok . let s go in a day .,2
i think you ll find it normal enough .,that s a good idea .,2
what s he smoking ?,he had a captain . his roof .,3
now put it back in .,here s the money for the change .,2
what are you going to buy ?,i m going to make a decision .,0
sue . your clothes . lose them .,thanks . out is a lawyer .,2
yeah there was apple juice .,he had no idea . .,4
and all his works ?,yes . this is incredible .,1
merry christmas to you sir . . .,that s fun . .,4
did you find anything ?,yes i bought it back .,4
what can i help you with today ?,i need to check out this book .,0
can i give her a message for you ?,yes please tell her i stopped by .,0
no dad . you did . forty years .,do you have a sweet marriage ?,4
yeah kay i m here .,really ? i m glad to do that .,4
no . . . thanks . . . listen,that s strange .,4
it s rather cold . isn t it,oh . it should only a copy please .,0
i d like to check out .,have you settled the bill ? ?,0
you look a bit pale don t you ?,yes i can t sleep well every night .,0
we were expecting you to return by six .,when did you close it ?,2
how do i fight it ?,three times a day after meals .,4
you like me . how come ?,i already do . .,2
but you love me don t you ?,not really . i m just asking .,1
how much are the parking tickets ?,. dollars . . .,0
what do you mean ?,sometimes the traffic is too busy .,0
who are you looking for now ?,my girlfriend . .,1
i don t know .,please think it over . .,4
i have a parking ticket to pay for .,i will have you better soon .,0
what floor is the office on ?,it s on the first floor .,1
and what should i wear ?,your usual shirt and shoes .,0
i ll do anything for you .,i hope that i m so excited .,4
what are you doing !,i m working too . these carefully are,2
he s just been for a walk .,i think i had a court at .,1
i ve got you .,i m definitely to meet you .,0
what about you mary ?,coke is fine .thank you .,0
surprised to see me ?,not at the moment i will . .,1
there s so much . . .,really ? it is very nice .,3
won t daddy powell take care of us ?,yes . can i do chinese ? ?,1
oh it s fantastic .,where did you go ? .,1
yeah . hey why wasn t i injured ?,why don t you go to new year ?,1
what s that got to do with it ?,i don t like anything about it .,0
something tried to get into this room !,yes the first is coming .,2
i m so sorry .,why ? why is that ?,4
i ll take care of it sir .,and do you have any key or fever ?,4
why do you bring her up ?,it s very exciting .,4
hmm . pretty good .,thanks for letting me see . !,3
i had to make it quick .,how much do you want to go ?,0
do you eat a lot of vegetables ?,oh yes and fruit i love fruit .,0
looks like it yeah .,that s the way . ?,4
well i don t get it .,you can t be serious . .,3
say you got a lulu .,what do you mean by a night ?,1
will they really teach me to shoot ?,it was a wonderful game noon .,4
what are you shopping for ?,i am going to cancel my court account .,0
it could . yes .,i see . what should i do ?,3
you re quiet at work .,i see . thanks a lot . i,1
he is dead now twenty years .,do you have your insurance card with your party,1
does it feel comfortable ?,no . this is the best .,3
that sounds very reasonable .,it s the most important thing to me .,0
well here are fifty francs .,it s really beautiful . .,4
that is exactly what we re looking for .,well each room is dollars a week .,1
i am really enjoying it here so far .,which is better here or pcc ? ?,0
he said something about . . .,did you know that he can be ?,1
where s the old lady ?,it s in the street .,4
here s a twenty .,here s your change . thank you .,0
what are you laughing at ?,i am going to improve my party .,1
sir i ran the in high school .,oh come on in a pleasant meeting you .,4
terrific . thirty eight .,and what was your major ? ?,1
yes sir church of england sir .,do you have any key ? ?,1
you got me beat on both accounts .,thanks for coming . i will need to,2
we didn t tell him any different for years,i have no idea .,4
shall we share a taxi ?,yes that s a good idea .,0
you re kidding me . . .,i m so sorry .,2
i got them all mother .,so you are so lucky . .,1
would you recognize him again ?,i ll be looking . .,3
sorry i m late . richard called .,you re welcome . my treat please .,2
shouldn t we be moving on ?,that s right . .,3
yeah it s the best one .,what s the fare ? that is the,3
did you make us get off early ?,i think we did . .,3
i told you you wouldn t like him .,why do i say ? i did .,4
happy mother s day to you mum !,thank you .you are so sweet !,1
this is the second opinion .,what s the weather like in your country ?,2
did you see his face ?,no . he had a mask on .,0
you haven t said anything .,i really wish i could .,2
yes we have one copy left .,may i know what you have ?,0
alright . a month . in a month .,that s true . there .,3
oh but this one is so simple .,come on let s go !,4
what happened to you ?,i think i caught a cold .,2
get close to them .,here we are . .,3
