post,response,emotion
doctors that are people can t cure everything .,what do you mean doctors that are people ?,4
i often feel so tired .,you got any hands ? . .,0
soon . i told you before very soon .,thank you . . . .,1
when are you off ?,i m a little fifteen . tv .,0
i have . sit down over there .,i want to see you . . .,2
hi jack . long time no see !,hi . . . . . .,0
should i wake her ?,no . . you sure ?,2
where does it lead ?,it s been a place to explain .,2
why i turned them down naturally .,i m not sure . . .,1
possibly . split personality . . .,i m not sure . . .,0
don t want weak legs .,please . . . . .,2
are you all right ?,i m fine . . . .,2
don t you like red apples ?,not much . mostly . . .,0
what guy that died ?,what do you mean ? . .,4
i love that . that s my type .,it s not true . . .,2
he wanted a watch too .,yeah . . . . .,2
go down this road and then turn left .,what is it ? i m there .,0
ah that is good .,you seem to understand . . .,4
you re the memory guy ?,i m not . i m with you .,2
how old are you ?,thirty five . . . .,0
what did you do ?,i don t know . . .,0
what shall we drink to sir ?,yes . . . . .,0
it wasn t your fault .,i know . . . .,2
tell me what you want to eat .,i don t understand . . .,0
you need to type your pin in .,i m not sure . . .,0
looks good to me .,you got a good time ? .,4
i usually don t .,i don t think so . .,4
yeah but jason s really sensitive .,why ? am i great ?,0
is that room service ?,yes . . . . .,0
i like the different instruments that they use .,so do i . . . .,1
it s better to be free right ?,yeah . . . . .,4
i didn t do enough .,you did . . . .,2
you left me a message ?,i m sorry . . . . .,0
because if you do i ll kill you !,why do i shoot ?,4
really ? i like playing basketball too .,oh . . . . .,1
dad it s raining outside .,it s not . . . .,0
i ll be there .,i ll be there . good .,0
i m going with you .,not that one . . . .,4
really good ! you should try it sometime .,i don t like to talk about it .,0
i have no idea .,i know . . . .,2
do you have a moment sir ?,yes . . . . .,4
don t curse in front of it .,why not ? we have to offer .,2
hi this is maria . is that shirley ?,hi . . . . . .,0
thank you very much .,now i m good . eh . .,3
french guys ? you mean like from france ?,yeah . guys . . .,2
can t you stay with us a little ?,i can t make it . . .,2
well that s different .,and to what ? . . . ?,4
the th will be fine .,i m not sure . . .,0
the sale price today is each .,you have a better book .,0
it s not for sale at any price .,i don t understand . . .,2
i think you ll find it normal enough .,i don t think so . . .,2
what s he smoking ?,he s a fireman . . .,3
now put it back in .,give us a break . . .,2
what are you going to buy ?,i don t know . . .,0
sue . your clothes . lose them .,what ? . . . . .,2
yeah there was apple juice .,was that all ? . . .,4
and all his works ?,i like land . . . .,1
merry christmas to you sir . . .,what is it sir ? ?,4
did you find anything ?,no . i was very much .,4
what can i help you with today ?,i m not sure . . .,0
can i give her a message for you ?,sure . . . . .,0
no dad . you did . forty years .,i never knew you were a happy .,4
yeah kay i m here .,you re a liar . . .,4
no . . . thanks . . . listen,what ? . . . . .,4
it s rather cold . isn t it,i m sorry . . . .,0
i d like to check out .,what ? . . . . .,0
you look a bit pale don t you ?,i m not gonna be here for you .,0
we were expecting you to return by six .,you can t come in .,2
how do i fight it ?,it s too much . .,4
you like me . how come ?,i m not sure . . .,2
but you love me don t you ?,yes . . . . .,1
how much are the parking tickets ?,a hundred dollars . . . .,0
what do you mean ?,i mean it s a larger story . .,0
who are you looking for now ?,sssh . . . . .,1
i don t know .,you don t . . . .,4
i have a parking ticket to pay for .,i love you . . . .,0
what floor is the office on ?,i m not sure . . .,1
and what should i wear ?,i m a lawyer . . .,0
i ll do anything for you .,no . . you re a different man .,4
what are you doing !,i m sorry i m going to die .,2
he s just been for a walk .,i m sorry about that . . .,1
i ve got you .,you re not gonna hurt me .,0
what about you mary ?,i can t do it . i,0
surprised to see me ?,i don t know . . .,1
there s so much . . .,it s not that . deal .,3
won t daddy powell take care of us ?,no . we re in order .,1
oh it s fantastic .,oh yeah ? have a drink .,1
yeah . hey why wasn t i injured ?,you re my hero . . .,1
what s that got to do with it ?,you re a cop . . .,0
something tried to get into this room !,and failed . these doors are solid steel .,2
i m so sorry .,it s too late . . .,4
i ll take care of it sir .,that s not a good time . .,4
why do you bring her up ?,cause she s always on your mind .,4
hmm . pretty good .,good . . . . .,3
i had to make it quick .,you re overreacting . . .,0
do you eat a lot of vegetables ?,yes . . . . .,0
looks like it yeah .,but it s not too bad .,4
well i don t get it .,i think you do . . .,3
say you got a lulu .,i am . i brought the other time .,1
will they really teach me to shoot ?,no . . . . .,4
what are you shopping for ?,i don t know . . .,0
it could . yes .,i know . it was broken . .,3
you re quiet at work .,i m not . i m afraid .,1
he is dead now twenty years .,he s a single . pillow .,1
does it feel comfortable ?,not much . . . .,3
that sounds very reasonable .,no . . . . .,0
well here are fifty francs .,thanks . . . . .,4
that is exactly what we re looking for .,you re not hurt . . .,1
i am really enjoying it here so far .,oh no . i m almost there .,0
he said something about . . .,what ? . . .,1
where s the old lady ?,i don t know . . .,4
here s a twenty .,and what else is it ? .,0
what are you laughing at ?,nothing . . . . .,1
sir i ran the in high school .,i m in my appearance . .,4
terrific . thirty eight .,i m not hungry here . . .,1
yes sir church of england sir .,brown ! good . eh ?,1
we didn t tell him any different for years,you ve been a good soldier yet ?,4
shall we share a taxi ?,yeah . . . . .,0
you re kidding me . . .,i cannot be trying to be alone . .,2
i got them all mother .,how do you know ? . .,1
would you recognize him again ?,yes . i think so . . .,3
sorry i m late . richard called .,oh yeah ? what are you talking about ?,2
shouldn t we be moving on ?,i don t know . maybe maybe . .,3
yeah it s the best one .,i m sorry . . . .,3
did you make us get off early ?,i don t know . . .,3
i told you you wouldn t like him .,what s he like ? like it ?,4
happy mother s day to you mum !,he s not ready . . .,1
this is the second opinion .,the week is in the trunk .,2
did you see his face ?,yes . . . . .,0
you haven t said anything .,i m not upset . . .,2
yes we have one copy left .,i think i should be there . .,0
alright . a month . in a month .,no . you re married . . .,3
oh but this one is so simple .,is that what i said ?,4
what happened to you ?,i had a little run in with zowie .,2
get close to them .,you know what . . . .,3
